area,bath_rooms,link,price,rooms,zone
85,2,https://www.lahaus.com/p/apartamento-en-calle-larga-sabaneta-85mt-tres-alcobas-balcon/sabaneta,305,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
92,2,https://www.lahaus.com/p/mocaccino-97310/sabaneta,450,3,"    El Carmelo, Sabaneta, Antioquia, Colombia  "
120,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-14427/sabaneta,350,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
85,2,https://www.lahaus.com/p/se-vende-apartamento-en-sabaneta-105607/sabaneta,290,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
135,2,https://www.lahaus.com/p/apartamento-de-135m2-en-aves-maria-sabaneta-con-tres-habitaciones/sabaneta,460,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
80,2,https://www.lahaus.com/p/apartamento-en-venta-el-carmelo-97632/sabaneta,315,3,"    El Carmelo, Sabaneta, Antioquia, Colombia  "
90,2,https://www.lahaus.com/p/apartamento-en-aves-maria-sabaneta-con-3-habitaciones-y-blacon-90-mt2/sabaneta,360,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
82,2,https://www.lahaus.com/p/apartamento-en-la-doctora-sabaneta-tres-alcobas-70406/sabaneta,290,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
76,2,https://www.lahaus.com/p/apartamento-en-sabaneta-con-3-habitaciones-76-mt2/sabaneta,260,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
66,2,https://www.lahaus.com/p/apartamento-en-sabaneta-asdesillas-con-3-habitacion-66-4mt2/sabaneta,298,3,"    Restrepo Naranjo, Sabaneta, Antioquia, Colombia  "
68,2,https://www.lahaus.com/p/apartamento-en-sabaneta-san-jose-con-3-habitaciones-67-57-mt2/sabaneta,318,3,"    San José, Sabaneta, Antioquia, Colombia  "
57,2,https://www.lahaus.com/p/lisboa-aves-marias-98768/sabaneta,235,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
99,2,https://www.lahaus.com/p/apartamento-en-venta-sector-loma-linda-sabaneta-39485/sabaneta,320,3,"    San José, Sabaneta, Antioquia, Colombia  "
75,2,https://www.lahaus.com/p/apartamento-en-la-doctora-sabaneta-tres-alcobas-67674/sabaneta,255,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
79,2,https://www.lahaus.com/p/apartamento-en-aves-maria-sabaneta-79mt-tres-alcobas-balcon/sabaneta,290,3,"    María Auxiliadora, Sabaneta, Antioquia, Colombia  "
86,2,https://www.lahaus.com/p/apartamento-en-venta-sector-las-lomitas-sabaneta-67326/sabaneta,350,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
70,2,https://www.lahaus.com/p/venta-apartamento-sabaneta-35258/sabaneta,310,3,"    Virgen del Carmen, Sabaneta, Antioquia, Colombia  "
74,2,https://www.lahaus.com/p/apartamento-calle-larga-sabaneta-3-alcobas/sabaneta,279,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
63,2,https://www.lahaus.com/p/apartamento-en-sabaneta-calle-larga-con-3-habitaciones-63-mt2/sabaneta,279,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
60,2,https://www.lahaus.com/p/acacia-97452/sabaneta,225,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
78,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-3884/sabaneta,283,3,"    San José, Sabaneta, Antioquia, Colombia  "
85,3,https://www.lahaus.com/p/apartamento-en-calle-larga-sabaneta-rio-secreto-3-habitaciones-85-43m2/sabaneta,355,3,"    Ancon, Sabaneta, Antioquia, Colombia  "
68,2,https://www.lahaus.com/p/venta-apartamento-sabaneta-35235/sabaneta,275,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
63,1,https://www.lahaus.com/p/apartamento-en-venta-paso-ancho-sabaneta-cuenta-con-3-habitaciones/sabaneta,225,3,"    Calle del Banco, Sabaneta, Antioquia, Colombia  "
96,2,https://www.lahaus.com/p/apartamento-en-el-trapiche-sabaneta-96mt-tres-alcobas-balcon/sabaneta,368,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
70,1,https://www.lahaus.com/p/apartamento-en-sabaneta-con-3-habitaciones-70-mt2/sabaneta,295,3,"    Asdesillas, Sabaneta, Antioquia, Colombia  "
72,2,https://www.lahaus.com/p/apartamento-en-venta-la-florida-sabaneta-con-tres-alcobas/sabaneta,290,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
71,2,https://www.lahaus.com/p/apartamento-en-ancon-sabaneta-3-hbaitaciones-71m2/sabaneta,255,3,"    Ancon, Sabaneta, Antioquia, Colombia  "
78,2,https://www.lahaus.com/p/apartamento-en-el-carmelo-sabaneta-78mt-tres-alcobas-balcon/sabaneta,378,3,"    El Carmelo, Sabaneta, Antioquia, Colombia  "
76,2,https://www.lahaus.com/p/apartamento-en-el-trapiche-sabaneta-76mt-tres-alcobas-balcon/sabaneta,310,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
93,2,https://www.lahaus.com/p/turpial-13715/sabaneta,320,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
86,2,https://www.lahaus.com/p/apartamento-en-venta-la-doctora-17657/sabaneta,310,3,"    San José, Sabaneta, Antioquia, Colombia  "
105,3,https://www.lahaus.com/p/apartamento-en-san-jose-sabaneta-con-3-habitaciones-y-balcon-105-mt2/sabaneta,395,3,"    San José, Sabaneta, Antioquia, Colombia  "
114,3,https://www.lahaus.com/p/apartamento-en-venta-aves-maria-97568/sabaneta,330,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
87,2,https://www.lahaus.com/p/apartamento-en-ancon-sabaneta-con-3-habitaciones-87-mt2/sabaneta,360,3,"    Ancon, Sabaneta, Antioquia, Colombia  "
66,2,https://www.lahaus.com/p/exclusividad-y-tranquilidad-en-sabaneta/sabaneta,249,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
80,2,https://www.lahaus.com/p/apartamento-sabaneta-la-doctora-piso-13/sabaneta,310,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
96,2,https://www.lahaus.com/p/alameda-41666/sabaneta,410,3,"    San José, Sabaneta, Antioquia, Colombia  "
76,2,https://www.lahaus.com/p/apartamento-en-maria-auxiliadora-sabaneta-76mt-tres-alcobas-balcon/sabaneta,215,3,"    María Auxiliadora, Sabaneta, Antioquia, Colombia  "
71,2,https://www.lahaus.com/p/apartamento-en-venta-mayorca-sabaneta-cod-13120/sabaneta,275,3,"    Restrepo Naranjo, Sabaneta, Antioquia, Colombia  "
86,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-16376/sabaneta,310,3,"    San José, Sabaneta, Antioquia, Colombia  "
93,2,https://www.lahaus.com/p/apartamento-en-venta-sector-betania-sabaneta-cod-18960/sabaneta,380,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
127,4,https://www.lahaus.com/p/venta-apartamento-cigarras-ph-sabaneta/sabaneta,430,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
77,2,https://www.lahaus.com/p/apartamento-en-venta-sabaneta-antioquia-109758/sabaneta,320,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
74,2,https://www.lahaus.com/p/amonte-109944/sabaneta,322,3,"    Pan de Azúcar, Sabaneta, Antioquia, Colombia  "
108,3,https://www.lahaus.com/p/apartamento-en-venta-en-prados-de-sabaneta-105448/sabaneta,500,3,"    Ancon, Sabaneta, Antioquia, Colombia  "
115,3,https://www.lahaus.com/p/apartamento-en-las-lomitas-sabaneta-3-habitaciones-115m2/sabaneta,450,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
68,2,https://www.lahaus.com/p/venta-apartamento-en-sabaneta-3-alcobas-35542/sabaneta,240,3,"    María Auxiliadora, Sabaneta, Antioquia, Colombia  "
84,2,https://www.lahaus.com/p/apartamento-en-el-carmelo-sabaneta-84mt-tres-alcobas-balcon/sabaneta,315,3,"    El Carmelo, Sabaneta, Antioquia, Colombia  "
77,2,https://www.lahaus.com/p/bangkok-43992/sabaneta,350,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
89,2,https://www.lahaus.com/p/apartamento-en-san-jose-sabaneta-con-3-habitaciones-89-mt2/sabaneta,370,3,"    San José, Sabaneta, Antioquia, Colombia  "
75,2,https://www.lahaus.com/p/apartamento-en-sabaneta-sabaneta-16181/sabaneta,340,3,"    Asdesillas, Sabaneta, Antioquia, Colombia  "
64,2,https://www.lahaus.com/p/vendo-apartamento-para-estrenar-en-sabaneta/sabaneta,265,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
