area,bath_rooms,link,prize,rooms,zone
165,3,https://www.lahaus.com/p/apartamento-en-villa-hermosa-medellin-165-mts-3-alcobas/medellin,270,3,"    San Miguel, Medellín, Antioquia, Colombia  "
106,3,https://www.lahaus.com/p/apartamento-en-el-estadio-suramericana-con-3-habitaciones-106-mt2/medellin,295,3,"    Suramericana, Medellín, Antioquia, Colombia  "
66,3,https://www.lahaus.com/p/apartamento-en-rodeo-alto-belen-66mt-tres-alcobas/medellin,215,3,"    Rodeo Alto, Medellín, Antioquia, Colombia  "
67,3,https://www.lahaus.com/p/apartamento-en-la-loma-de-los-bernal-belen-con-3-habitaciones-67mt2/medellin,330,3,"    Loma de los Bernal, Medellín, Antioquia, Colombia  "
125,3,https://www.lahaus.com/p/apartamento-en-belen-rosales-125-mts-3-habitaciones-1-parqueadero/medellin,500,3,"    Rosales, Medellín, Antioquia, Colombia  "
63,3,https://www.lahaus.com/p/providencia-de-castropolo-46369/medellin,290,3,"    Castropol, Medellín, Antioquia, Colombia  "
140,3,https://www.lahaus.com/p/apartamento-en-conquistadores-laureles-140mt-tres-alcobas/medellin,419,3,"    Rosales, Medellín, Antioquia, Colombia  "
137,3,https://www.lahaus.com/p/apartamento-en-el-poblado-con-3-habitaciones-137mt2/medellin,500,3,"    El Tesoro, Medellín, Antioquia, Colombia  "
85,3,https://www.lahaus.com/p/apartamento-en-la-pilarica-robledo-con-3-habitaciones-y-balcon-85-mt2/medellin,310,3,"    La Pilarica, Medellín, Antioquia, Colombia  "
76,3,https://www.lahaus.com/p/apartamento-en-venta-loma-de-los-bernal-medellin-107281/medellin,283,3,"    Loma de los Bernal, Medellín, Antioquia, Colombia  "
90,3,https://www.lahaus.com/p/apartamento-en-venta-en-las-lomas-con-3-habitaciones-90-1mt2/medellin,370,3,"    Las Lomas, Medellín, Antioquia, Colombia  "
66,3,https://www.lahaus.com/p/marsella-93926/medellin,213,3,"    Calasanz, Medellín, Antioquia, Colombia  "
97,3,https://www.lahaus.com/p/apartamento-en-laureles-san-joaquin-con-3-habitaciones-97m2/medellin,287,3,"    San Joaquín, Medellín, Antioquia, Colombia  "
97,3,https://www.lahaus.com/p/apartamento-en-venta-robledo-la-campina-101593/medellin,250,3,"    Bello Horizonte, Medellín, Antioquia, Colombia  "
92,4,https://www.lahaus.com/p/se-vende-apartamento-en-buenos-aires-98023/medellin,300,4,"    La Milagrosa, Medellín, Antioquia, Colombia  "
68,3,https://www.lahaus.com/p/venta-apartamento-en-robledo-34864/medellin,300,3,"    San Germán, Medellín, Antioquia, Colombia  "
126,4,https://www.lahaus.com/p/venta-apartamento-colores-medellin-95791/medellin,270,4,"    Cuarta Brigada, Medellín, Antioquia, Colombia  "
68,3,https://www.lahaus.com/p/apartamento-en-venta-belen-rodeo-alto-22358/medellin,235,3,"    Rodeo Alto, Medellín, Antioquia, Colombia  "
75,3,https://www.lahaus.com/p/apartamento-en-venta-estadio-101462/medellin,315,3,"    Los Colores, Medellín, Antioquia, Colombia  "
110,3,https://www.lahaus.com/p/venta-de-apartamento-en-conquistadores-99338/medellin,385,3,"    Conquistadores, Medellín, Antioquia, Colombia  "
84,3,https://www.lahaus.com/p/venta-apartamento-en-el-centro-34454/medellin,250,3,"    Bomboná, Medellín, Antioquia, Colombia  "
74,3,https://www.lahaus.com/p/apartamento-en-venta-el-poblado-100496/medellin,300,3,"    Las Lomas, Medellín, Antioquia, Colombia  "
100,3,https://www.lahaus.com/p/apartamento-con-3-alcobas-en-el-sector-de-conquistadores/medellin,430,3,"    Conquistadores, Medellín, Antioquia, Colombia  "
91,3,https://www.lahaus.com/p/med70-94041/medellin,430,3,"    Florida Nueva, Medellín, Antioquia, Colombia  "
92,4,https://www.lahaus.com/p/apartamento-en-guayabal-con-4-habitaciones-92mt2/medellin,260,4,"    Rodeo Alto, Medellín, Antioquia, Colombia  "
115,4,https://www.lahaus.com/p/apartamento-en-venta-la-mota-101454/medellin,320,4,"    Mota, Medellín, Antioquia, Colombia  "
119,3,https://www.lahaus.com/p/apartamento-en-venta-loma-del-campestre-94693/medellin,460,3,"    El Campestre, Medellín, Antioquia, Colombia  "
73,3,https://www.lahaus.com/p/venta-apartamento-en-el-poblado-98920/medellin,405,3,"    Ciudad del Río, Medellín, Antioquia, Colombia  "
120,3,https://www.lahaus.com/p/apartamento-en-venta-suramericana-20647/medellin,295,3,"    Suramericana, Medellín, Antioquia, Colombia  "
109,3,https://www.lahaus.com/p/apartamento-en-los-angeles-candelaria-109mt-duplex-tres-alcobas/medellin,240,3,"    Los Ángeles, Medellín, Antioquia, Colombia  "
60,3,https://www.lahaus.com/p/arriendo-apartamento-san-diego-medellin/medellin,231,3,"    Loma del Indio, Medellín, Antioquia, Colombia  "
110,3,https://www.lahaus.com/p/apartamento-venta-los-balsos-poblado/medellin,395,3,"    Los Balsos, Medellín, Antioquia, Colombia  "
100,3,https://www.lahaus.com/p/apartamento-en-venta-almeria-medellin-96602/medellin,420,3,"    Simón Bolívar, Medellín, Antioquia, Colombia  "
192,3,https://www.lahaus.com/p/apartamento-en-el-estadio-florida-nueva-con-3-habitaciones-192-mt2/medellin,320,3,"    Florida Nueva, Medellín, Antioquia, Colombia  "
150,3,https://www.lahaus.com/p/apartamento-para-la-venta-en-simon-bolivar-medellin-cod-3186/medellin,332,3,"    Simón Bolívar, Medellín, Antioquia, Colombia  "
133,3,https://www.lahaus.com/p/apartamento-en-barrio-laureles-laureles-tres-alcobas/medellin,320,3,"    Barrio Laureles, Medellín, Antioquia, Colombia  "
90,3,https://www.lahaus.com/p/venta-apartamento-colores-medellin-93763/medellin,420,3,"    San Germán, Medellín, Antioquia, Colombia  "
74,3,https://www.lahaus.com/p/apartamento-en-venta-en-san-german-medellin/medellin,378,3,"    San Germán, Medellín, Antioquia, Colombia  "
70,3,https://www.lahaus.com/p/se-vende-apartamento-en-calasanz-103946/medellin,298,3,"    Calasanz, Medellín, Antioquia, Colombia  "
84,3,https://www.lahaus.com/p/porton-de-hungria/medellin,395,3,"    Castropol, Medellín, Antioquia, Colombia  "
77,3,https://www.lahaus.com/p/entre-palmas-de-san-diego-54816/medellin,335,3,"    Loma del Indio, Medellín, Antioquia, Colombia  "
126,3,https://www.lahaus.com/p/apartamento-en-fatima-belen-tres-alcobas/medellin,495,3,"    Bolivariana, Medellín, Antioquia, Colombia  "
94,3,https://www.lahaus.com/p/apartamento-paraventa-codigo-6199/medellin,370,3,"    Loma de los Bernal, Medellín, Antioquia, Colombia  "
