area,bath_rooms,link,price,rooms,zone
73,2,https://www.lahaus.com/p/apartamento-en-milan-envigado-cuenta-con-tres-habitaciones/envigado,270,3,"    Alcalá, Envigado, Antioquia, Colombia  "
77,2,https://www.lahaus.com/p/apartamento-en-las-antilla-envigado-tres-alcobas/envigado,355,3,"    Las Antillas, Envigado, Antioquia, Colombia  "
87,3,https://www.lahaus.com/p/venta-apartamento-en-envigado-98911/envigado,340,3,"    La Paz, Envigado, Antioquia, Colombia  "
94,2,https://www.lahaus.com/p/apartamento-en-la-loma-de-las-brujas-envigado-cuenta-con-tres-habitaciones-69681/envigado,390,3,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
137,4,https://www.lahaus.com/p/venta-apartamento-loma-del-escobero-envigado-103803/envigado,370,4,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
83,2,https://www.lahaus.com/p/arrecifes-de-la-abadia-103682/envigado,399,3,"    La Abadía, Envigado, Antioquia, Colombia  "
92,2,https://www.lahaus.com/p/apartamento-en-venta-sector-loma-de-las-brujas-envigado-cod-19438/envigado,463,3,"    Loma del Escobero, Envigado, Antioquia, Colombia  "
110,2,https://www.lahaus.com/p/murano-61205/envigado,490,3,"    El Dorado, Envigado, Antioquia, Colombia  "
94,1,https://www.lahaus.com/p/regatta-109124/envigado,480,3,"    Zúñiga, Envigado, Antioquia, Colombia  "
111,3,https://www.lahaus.com/p/montepietra-109135/envigado,500,3,"    El Chinguí, Envigado, Antioquia, Colombia  "
78,2,https://www.lahaus.com/p/aluna-62457/envigado,340,3,"    Las Antillas, Envigado, Antioquia, Colombia  "
70,2,https://www.lahaus.com/p/venta-apartamento-en-envigado-34810/envigado,240,3,"    Mesa, Envigado, Antioquia, Colombia  "
87,2,https://www.lahaus.com/p/apartamento-en-venta-senorial-97736/envigado,401,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
106,2,https://www.lahaus.com/p/venta-apartamento-en-envigado-vallejuelos/envigado,250,3,"    Alcalá, Envigado, Antioquia, Colombia  "
87,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-16514/envigado,370,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
93,2,https://www.lahaus.com/p/apartamento-en-mesa-envigado-tres-alcobas-70198/envigado,311,3,"    Mesa, Envigado, Antioquia, Colombia  "
68,2,https://www.lahaus.com/p/apartamento-en-el-chingui-envigado-68mt-piso-11-tres-alcobas/envigado,350,3,"    El Chinguí, Envigado, Antioquia, Colombia  "
98,2,https://www.lahaus.com/p/apartamento-en-venta-el-esmeraldal-97789/envigado,500,3,"    El Esmeraldal, Envigado, Antioquia, Colombia  "
101,2,https://www.lahaus.com/p/apartamento-en-mesa-envigado-101mt-cuatro-alcobas-balcon/envigado,310,4,"    Mesa, Envigado, Antioquia, Colombia  "
80,2,https://www.lahaus.com/p/apartamento-en-camino-verde-envigado-80mt-piso-5-tres-alcobas/envigado,369,3,"    El Salado, Envigado, Antioquia, Colombia  "
65,2,https://www.lahaus.com/p/vendo-apartamento-envigado-en-las-flores/envigado,232,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
90,2,https://www.lahaus.com/p/tierra-grata-45129/envigado,360,3,"    La Abadía, Envigado, Antioquia, Colombia  "
77,2,https://www.lahaus.com/p/apartamento-en-venta-sector-san-rafael-envigado-3-alcobas/envigado,355,3,"    Las Antillas, Envigado, Antioquia, Colombia  "
110,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-13653/envigado,410,3,"    Otra Parte, Envigado, Antioquia, Colombia  "
112,2,https://www.lahaus.com/p/apartamento-en-venta-zuniga-97648/envigado,320,4,"    Loma de Benedictinos, Envigado, Antioquia, Colombia  "
98,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-15761/envigado,335,3,"    Primavera, Envigado, Antioquia, Colombia  "
104,3,https://www.lahaus.com/p/apartamento-paraventa-codigo-16247/envigado,430,4,"    La Cuenca, Envigado, Antioquia, Colombia  "
67,2,https://www.lahaus.com/p/venta-apartamento-envigado-medellin/envigado,235,3,"    La Magnolia, Envigado, Antioquia, Colombia  "
85,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-16986/envigado,320,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
87,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-17144/envigado,320,3,"    La Paz, Envigado, Antioquia, Colombia  "
89,3,https://www.lahaus.com/p/apartamento-en-venta-sector-el-chocho-envigado-cod-18820/envigado,438,3,"    Loma de Cumbres, Envigado, Antioquia, Colombia  "
70,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-17340/envigado,320,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
60,2,https://www.lahaus.com/p/apartamento-en-tierra-del-sol-esmeraldal-envigado/envigado,220,3,"    El Esmeraldal, Envigado, Antioquia, Colombia  "
81,2,https://www.lahaus.com/p/apartamento-en-venta-en-la-paz-envigado-95376/envigado,415,3,"    La Paz, Envigado, Antioquia, Colombia  "
81,2,https://www.lahaus.com/p/apartamento-en-aluna-envigado-las-antillas-con-tres-alcobas-67254/envigado,381,3,"    Las Antillas, Envigado, Antioquia, Colombia  "
75,2,https://www.lahaus.com/p/apartamento-en-envigado-la-cuenca-con-3-habitaciones-75m2/envigado,338,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
91,3,https://www.lahaus.com/p/apartamento-paraventa-codigo-16821/envigado,310,3,"    La Paz, Envigado, Antioquia, Colombia  "
105,2,https://www.lahaus.com/p/casa-paraventa-codigo-17504/envigado,398,3,"    La Abadía, Envigado, Antioquia, Colombia  "
107,2,https://www.lahaus.com/p/torreon-de-la-magnolia/envigado,355,3,"    La Magnolia, Envigado, Antioquia, Colombia  "
81,2,https://www.lahaus.com/p/apartamento-en-el-portal-envigado-tres-alcobas/envigado,323,3,"    El Portal, Envigado, Antioquia, Colombia  "
57,2,https://www.lahaus.com/p/apartamento-en-venta-en-senorial-envigado-109736/envigado,234,3,"    La Cuenca, Envigado, Antioquia, Colombia  "
90,2,https://www.lahaus.com/p/apartamento-en-el-portal-envigado-tres-alcobas-62124/envigado,350,3,"    El Portal, Envigado, Antioquia, Colombia  "
