area,bath_rooms,link,price,rooms,zone
                    73,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/chingui-det-5362775.aspx,330,3,Envigado EL CHINGUI
                    160,2,https://www.fincaraiz.com.co/casa-en-venta/medellin/milagrosa-det-5346927.aspx,240,3,Medellín La Milagrosa
                    76,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/america_niza-det-5358106.aspx,240,3,Medellín AMERICA NIZA
                    65,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/las_cometas-det-5352167.aspx,230,3,Envigado LAS COMETAS
                    63,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/cuenca-det-4668073.aspx,256,3,Envigado La Cuenca
                    62,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/los_almendros-det-5311612.aspx,310,3,Envigado Los Almendros
                    90,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/belen_rosales-det-5216646.aspx,360,3,Medellín Belen Rosales
                    90,2,https://www.fincaraiz.com.co/casa-en-venta/envigado/las_flores-det-5318000.aspx,230,3,Envigado LAS FLORES
                    57,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/calle_larga-det-5384928.aspx,245,3,Sabaneta Calle Larga
                    91,2,https://www.fincaraiz.com.co/apartamento-en-venta/itagui/villa_paula_centro-det-5239278.aspx,200,3,Itaguí Villa Paula Centro
                    90,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/tres_esquinas-det-4893298.aspx,380,3,Sabaneta Tres Esquinas
                    95,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_los_bernal-det-5389896.aspx,370,3,Medellín Loma de los Bernal
                    70,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/carlos_restrepo-det-5248603.aspx,280,3,Medellín CARLOS E RESTREPO
                    100,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/esmeraldal-det-4777184.aspx,350,3,Envigado El Esmeraldal
                    95,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/laureles_occidente-det-5087004.aspx,360,3,Medellín Laureles Occidente
                    120,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/aliadas-det-5403917.aspx,230,3,Medellín Aliadas
                    74,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/calasanz-det-5248708.aspx,325,3,Medellín Calasanz
                    75,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/sabaneta-det-5408378.aspx,357,3,Sabaneta SABANETA
                    78,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/prados_sabaneta-det-5343034.aspx,320,3,Sabaneta PRADOS DE SABANETA
                    84,2,https://www.fincaraiz.com.co/apartamento-en-venta/itagui/ditaires-det-5039332.aspx,305,3,Itaguí Ditaires
